annee,tour,departement,departement_nom,nuance,famille_politique,inscrits,votants,abstentions,exprimes,voix,taux_participation,taux_abstention,pct_exprimes,pct_inscrits,ancien_midi_pyrenees,ancien_languedoc_roussillon,typologie
1993,2,11,Aude,RPR,Droite,222530,169445,53085,154933,57995,76.14,23.86,37.43,26.06,False,True,Rural
1993,2,11,Aude,UDF,Autres,222530,169445,53085,154933,22460,76.14,23.86,14.5,10.09,False,True,Rural
1993,2,30,Gard,DVD,Droite,407222,286233,120989,250194,53299,70.29,29.71,21.3,13.09,False,True,Rural
1993,2,30,Gard,RPR,Droite,407222,286233,120989,250194,52889,70.29,29.71,21.14,12.99,False,True,Rural
1993,2,30,Gard,MAJ,Autres,407222,286233,120989,250194,33620,70.29,29.71,13.44,8.26,False,True,Rural
1993,2,30,Gard,FRN,Extrême droite,407222,286233,120989,250194,32737,70.29,29.71,13.08,8.04,False,True,Rural
1993,2,30,Gard,UDF,Autres,407222,286233,120989,250194,27716,70.29,29.71,11.08,6.81,False,True,Rural
1993,2,30,Gard,SOC,Autres,407222,286233,120989,250194,24886,70.29,29.71,9.95,6.11,False,True,Rural
1993,2,31,Haute-Garonne,RPR,Droite,412628,314960,97668,292781,79780,76.33,23.67,27.25,19.33,True,False,Rural
1993,2,31,Haute-Garonne,UDF,Autres,412628,314960,97668,292781,71270,76.33,23.67,24.34,17.27,True,False,Rural
1993,2,32,Gers,UDF,Autres,137498,102274,35224,94357,27977,74.38,25.62,29.65,20.35,True,False,Rural
1993,2,32,Gers,RPR,Droite,137498,102274,35224,94357,25963,74.38,25.62,27.52,18.88,True,False,Rural
1993,2,34,Hérault,RPR,Droite,552577,383951,168626,342491,102033,69.48,30.52,29.79,18.46,False,True,Rural
1993,2,34,Hérault,UDF,Autres,552577,383951,168626,342491,101737,69.48,30.52,29.71,18.41,False,True,Rural
1993,2,34,Hérault,SOC,Autres,552577,383951,168626,342491,51024,69.48,30.52,14.9,9.23,False,True,Rural
1993,2,34,Hérault,MAJ,Autres,552577,383951,168626,342491,50643,69.48,30.52,14.79,9.16,False,True,Rural
1993,2,34,Hérault,FRN,Extrême droite,552577,383951,168626,342491,8625,69.48,30.52,2.52,1.56,False,True,Rural
1993,2,46,Lot,RDG,Autres,123760,99231,24529,93154,23353,80.18,19.82,25.07,18.87,True,False,Rural
